VAR_NAMES,LABEL,DATA_TYPE,VALUE_LABELS,MISSING_LIST,JUMP_LIST,HARD_LIMITS,DETECTION_LIMITS,CONTRADICTIONS,SOFT_LIMITS,DISTRIBUTION,DECIMALS,DATA_ENTRY_TYPE,KEY_OBSERVER,KEY_DEVICE,KEY_DATETIME,KEY_STUDY_SEGMENT,VARIABLE_ROLE,VARIABLE_ORDER,LONG_LABEL
subject,subject,integer,,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.date,NTproBNP.date,datetime,,NA,NA,,NA,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.value,ntprobnp,float,,NA,NA,,NA,,[1000;3000],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.unit,NTproBNP.unit,integer,1 = pg/mL,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.unitSystem,NTproBNP.unitSystem,integer,1 = http://unitsofmeasure.org,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gender,geschlecht,integer,1 = male | 2 = female | 3 = other,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,alter,integer,,NA,NA,[0;200],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.id,encounter.id,integer,,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.start,encounter.start,datetime,,NA,NA,,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.end,encounter.end,datetime,,NA,NA,,NA,1001 | 1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
serviceType,serviceType,integer,1 = unknown,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
